url,page_type,primary_query,impressions,ctr,avg_position,estimated_click_uplift,estimated_business_value,technical_scope,status_code,technical_priority,current_problem,recommended_action,selection_score,execution_wave
https://www.biyapay.com/en/blogdetail/2320-how-the-chase-withdrawal-limit-works-for-your-acco,blogdetail,chase atm withdrawal limit,113076,0.16,4.98,3207,medium,www_0518,502,P0,High-impression blog page with weak SERP click-through or weak commercial handoff,Improve title/snippet and add stronger product handoff modules and related-tool internal links,2707,wave_1
https://www.biyapay.com/blogdetail/1071-what-is-the-withdrawal-limit-of-chase-an,blogdetail,chase atm withdrawal limit,88944,0.18,3.92,2510,medium,out_of_www_0518_scope,,P1,High-impression blog page with weak SERP click-through or weak commercial handoff,Improve title/snippet and add stronger product handoff modules and related-tool internal links,2510,wave_1
https://www.biyapay.com/en/blogdetail/1058-telephone-area-codes-in-mexico-a-guide-to-calling,blogdetail,+52 country code,74215,0.05,6.63,1074,medium,www_0518,200,P1,High-impression blog page with weak SERP click-through or weak commercial handoff,Improve title/snippet and add stronger product handoff modules and related-tool internal links,1374,wave_1
https://www.biyapay.com/en/blogdetail/1054-what-is-the-withdrawal-limit-of-bank-of,blogdetail,atm withdrawal limit bank of america,69778,0.05,8.75,1014,medium,www_0518,200,P1,High-impression blog page with weak SERP click-through or weak commercial handoff,Improve title/snippet and add stronger product handoff modules and related-tool internal links,1314,wave_1
https://www.biyapay.com/en/blogdetail/2572-wechat-realname-authentication-how-overseas-users,blogdetail,wechat real name verification,37273,0.35,4.47,987,medium,www_0518,200,P1,High-impression blog page with weak SERP click-through or weak commercial handoff,Improve title/snippet and add stronger product handoff modules and related-tool internal links,1287,wave_1
https://www.biyapay.com/zh/converter/JPY-HKD-converter,converter,,18017,0.07,9.23,258,high,www_0518,200,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add rate summary, fee/amount context, FAQ, and currency-grid internal links",1258,wave_1
https://www.biyapay.com/zh/converter/EUR-USD-converter,converter,,7825,0.05,9.42,113,high,www_0518,200,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add rate summary, fee/amount context, FAQ, and currency-grid internal links",1113,wave_1
https://www.biyapay.com/zh/converter/THB-USD-converter,converter,泰铢兑美金,6863,0.09,8.88,97,high,www_0518,200,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add rate summary, fee/amount context, FAQ, and currency-grid internal links",1097,wave_1
https://www.biyapay.com/zh/converter/JPY-USD-converter,converter,30万日元等于多少美金,6420,0.08,8.96,91,high,www_0518,200,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add rate summary, fee/amount context, FAQ, and currency-grid internal links",1091,wave_1
https://www.biyapay.com/zh/converter/PHP-USD-converter,converter,1比索等于多少美元,4356,0.07,8.89,62,high,www_0518,200,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add rate summary, fee/amount context, FAQ, and currency-grid internal links",1062,wave_1
https://www.biyapay.com/en/converter/AED-PKR-converter,converter,,3748,0.03,9.45,55,high,www_0518,200,P2,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add rate summary, fee/amount context, FAQ, and currency-grid internal links",1055,wave_1
https://www.biyapay.com/compare/best-USD-PHP-exchange-rate?amount=1500,compare,1500 dollars to philippine peso,22598,0.0,7.89,338,high,out_of_www_0518_scope,,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add clear comparison summary, strengthen first-screen data and related links",1038,wave_1
https://www.biyapay.com/en/blogdetail/1071-what-is-the-withdrawal-limit-of-chase-and-can-it-b,blogdetail,how much can i withdraw from chase atm,54830,0.17,6.94,728,medium,www_0518,200,P1,High-impression blog page with weak SERP click-through or weak commercial handoff,Improve title/snippet and add stronger product handoff modules and related-tool internal links,1028,wave_1
