priority,stage,workstream,current_state,next_action,acceptance_check,owner,traffic_role
P0,0,Direct data trust,"clean baseline 15671; held review 602724","Import source/referrer export for swift blogdetail stock sendmoney compare","held Direct split into clean search app campaign log-review",seo_data,protects true baseline
P0,0,Compare technical recovery,"12 P0 URLs fail with shared Next.js 500","Fix route parser SSR data-loader provider fallback and metadata output","scripts/validate_compare_live_urls.py returns 12/12 pass",engineering,recovers existing search demand
P0,0,Raw evidence trust,"69 imported / 5 partial / 1 failed; 2 encoding_blocked sources","Re-export non-UTF-8 sources as UTF-8 and rerun raw importer","v_raw_import_failures has no encoding_blocked rows",seo_data,keeps reporting evidence usable
P1,1,Top 30 existing opportunity lift,"Top 200 opportunity set exists","Re-rank Top 30 after P0 blockers and assign CMS or engineering actions","each Top 30 URL has owner status action and 28-day observation window",seo_content,fastest click growth from existing impressions
P1,1,Compare SEO handoff,"blocked until compare live regression passes","After 12/12 pass prepare first 5 compare CMS handoff rows","first five compare URLs have title meta H1 FAQ internal links CTA",seo_content,converts repaired compare URLs into SEO assets
P1,1,Converter and blogdetail lift,"Wave 1 assets exist and compare is blocked","Continue converter metadata checks and blogdetail bridge handoff","live metadata passes and bridge modules are ready for priority pages",seo_content,keeps growth moving while compare is blocked
P2,2,Template quality system,"template specs exist but rollout is uneven","Finalize fields internal links structured data CTA and event tracking per template","compare converter sendmoney swift bank-code iban have checklist-backed rollout",product_frontend_seo,turns URL scale into durable traffic
P2,2,Measurement loop,"traffic cannot yet be tied consistently to business steps","Map SEO pages to register KYC deposit trade or product CTA events","weekly dashboard reports page type to business-path metrics",analytics,keeps 1M traffic commercially meaningful
P3,3,Commercial intent clusters,"expansion reserved until P0/P1 clears","Build keyword-to-page maps for remittance USDT bank tools FX competitor trust","approved content map with owner and launch sequence",seo_content,scales qualified search coverage
P4,4,Authority and AI visibility,"baseline tracking exists","Build trust center data assets external citations and AI search tracking","AI search baseline shows cited status and competitor gap by topic",pr_seo,raises trust and citation probability
