business_action,ga4_event_exists,current_event_name,observed_hostname_scope,is_key_event,current_status,cross_domain_risk,issue,recommended_action,priority
register,yes,user_register,www.biyapay.com; invest.biyapay.com; cn.biyapay.com; polluted test/preprod hosts also present,yes,usable_but_polluted,high,"Registration event exists but also appears on test/preprod/non-production hosts, so clean reporting must filter hostnames","Keep user_register as the canonical registration event, restrict funnel reporting to production hosts only, and verify cross-domain continuity through signup flow",P0
kyc_start,no_evidence,,,unknown,missing_or_unmapped,high,No kyc_start-style event found in candidate event inventory,Confirm actual KYC start action and either map existing event name or add GA4 instrumentation,P0
kyc_success,no_evidence,,,unknown,missing_or_unmapped,high,No kyc_success-style event found in candidate event inventory,Confirm actual KYC completion action and map or instrument it in GA4,P0
deposit_start,no_evidence,,,unknown,missing_or_unmapped,high,No deposit_start-style event found in candidate event inventory,Identify actual deposit start UI/API action and add or map event tracking,P0
deposit_success,no_evidence,,,unknown,missing_or_unmapped,high,No deposit_success or first_deposit-style event found in candidate event inventory,Instrument successful deposit and first deposit completion separately if business needs both,P0
trade_start,no_evidence,,,unknown,missing_or_unmapped,medium,No trade_start-style event found in candidate event inventory,Identify trade intent/start action and add GA4 event mapping,P1
trade_success,no_evidence,,,unknown,missing_or_unmapped,medium,No trade_success or first_trade-style event found in candidate event inventory,Instrument completed trade event and define whether first trade should be a separate business KPI event,P1
download_app,no_evidence,,,unknown,missing_or_unmapped,medium,No explicit app download event found in candidate event inventory even though /download appears heavily in Direct,Add explicit app download click/install intent event to distinguish acquisition from app return traffic,P1
click_signup,no_evidence,,,unknown,missing_or_unmapped,high,No explicit click_signup event found in candidate event inventory,Track signup CTA clicks before cross-domain jump to measure attribution loss,P0
click_download,no_evidence,,,unknown,missing_or_unmapped,medium,No explicit click_download event found in candidate event inventory,Track download CTA clicks separately from pageviews and app return traffic,P1
