area,check_item,expected_behavior,owner,validation_command,pass_fail
route_parser,Parse singular exchange-rate route,Route slug best-XXX-YYY-exchange-rate resolves from and to currencies without exception,engineering,.venv/bin/python scripts/validate_compare_live_urls.py,
route_parser,Parse plural exchange-rates route,Route slug best-XXX-YYY-exchange-rates resolves from and to currencies without exception,engineering,.venv/bin/python scripts/validate_compare_live_urls.py,
query_params,Handle valid amount,amount values such as 1500 3000 and 20000 render without 500,engineering,.venv/bin/python scripts/validate_compare_live_urls.py,
query_params,Handle missing amount,Compare page renders with default or canonical amount behavior and does not 500,engineering,manual route check plus regression script,
query_params,Handle invalid amount,Invalid amount falls back or returns controlled 4xx and never unhandled 500,engineering,manual route check plus production log review,
data_provider,Handle provider success,Provider response populates rate fee and comparison modules without template crash,engineering,production log review plus regression script,
data_provider,Handle provider empty response,Empty provider response shows fallback state and does not crash SSR,engineering,local provider stub test plus regression script,
data_provider,Handle provider timeout,Timeout uses cached or degraded content and does not crash SSR,engineering,local provider timeout test plus regression script,
seo_metadata,Render title,Every P0 compare URL has non-empty title,engineering,.venv/bin/python scripts/validate_compare_live_urls.py,
seo_metadata,Render meta description,Every P0 compare URL has non-empty meta description,engineering,.venv/bin/python scripts/validate_compare_live_urls.py,
seo_metadata,Render H1,Every P0 compare URL has non-empty H1 with pair and amount context,engineering,.venv/bin/python scripts/validate_compare_live_urls.py,
seo_metadata,Render canonical,Every P0 compare URL has explicit canonical and canonical strategy is documented,engineering,.venv/bin/python scripts/validate_compare_live_urls.py,
seo_metadata,Render robots index,Every P0 compare URL has robots index or no blocking robots directive,engineering,.venv/bin/python scripts/validate_compare_live_urls.py,
observability,Log request context,500 logs include request path route slug pair amount provider status and stack trace,engineering,production log search,
acceptance,Pass P0 regression,All 12 P0 compare URLs return 200 and pass metadata checks,engineering,.venv/bin/python scripts/validate_compare_live_urls.py,
