launch_priority,p0_url,primary_query,impressions,avg_position,handoff_status,seo_next_action,acceptance_gate
1,https://www.biyapay.com/compare/best-USD-PHP-exchange-rate?amount=1500,1500 dollars to philippine peso,22598,7.89,waiting_on_12_of_12_pass,Prepare final title meta H1 FAQ CTA and internal links after live pass,scripts/validate_compare_live_urls.py returns pass
2,https://www.biyapay.com/compare/best-AED-INR-exchange-rates?amount=3000,,16146,8.12,waiting_on_12_of_12_pass,Prepare final title meta H1 FAQ CTA and internal links after live pass,scripts/validate_compare_live_urls.py returns pass
3,https://www.biyapay.com/compare/best-AED-INR-exchange-rate?amount=1500,1500 dirhams in rupees,14283,8.99,waiting_on_12_of_12_pass,Prepare final title meta H1 FAQ CTA and internal links after live pass,scripts/validate_compare_live_urls.py returns pass
4,https://www.biyapay.com/compare/best-USD-PKR-exchange-rate?amount=1500,,12604,6.88,waiting_on_12_of_12_pass,Prepare final title meta H1 FAQ CTA and internal links after live pass,scripts/validate_compare_live_urls.py returns pass
5,https://www.biyapay.com/compare/best-USD-GBP-exchange-rate?amount=1500,,11778,8.57,waiting_on_12_of_12_pass,Prepare final title meta H1 FAQ CTA and internal links after live pass,scripts/validate_compare_live_urls.py returns pass
6,https://www.biyapay.com/compare/best-JPY-USD-exchange-rates?amount=1500,,7960,8.18,waiting_on_12_of_12_pass,Prepare next-batch compare SEO after first five are assigned,scripts/validate_compare_live_urls.py returns pass
7,https://www.biyapay.com/compare/best-USD-INR-exchange-rate?amount=1500,,7717,8.41,waiting_on_12_of_12_pass,Prepare next-batch compare SEO after first five are assigned,scripts/validate_compare_live_urls.py returns pass
8,https://www.biyapay.com/compare/best-USD-AUD-exchange-rate?amount=1500,,6153,8.67,waiting_on_12_of_12_pass,Prepare next-batch compare SEO after first five are assigned,scripts/validate_compare_live_urls.py returns pass
9,https://www.biyapay.com/compare/best-PHP-USD-exchange-rates?amount=20000,,5915,9.43,waiting_on_12_of_12_pass,Prepare next-batch compare SEO after first five are assigned,scripts/validate_compare_live_urls.py returns pass
10,https://www.biyapay.com/compare/best-EUR-USD-exchange-rates?amount=1500,1500 euro to usd,5267,8.71,waiting_on_12_of_12_pass,Prepare next-batch compare SEO after first five are assigned,scripts/validate_compare_live_urls.py returns pass
11,https://www.biyapay.com/compare/best-HKD-USD-exchange-rate?amount=1500,1500 hong kong dollars to usd,5089,6.81,waiting_on_12_of_12_pass,Prepare next-batch compare SEO after first five are assigned,scripts/validate_compare_live_urls.py returns pass
12,https://www.biyapay.com/compare/best-JPY-USD-exchange-rate?amount=1500,,4969,6.88,waiting_on_12_of_12_pass,Prepare next-batch compare SEO after first five are assigned,scripts/validate_compare_live_urls.py returns pass
