hostname,landing_page,country,device_category,browser,operating_system,sessions,active_users,engaged_sessions,average_session_duration,key_events,suspected_type,evidence,recommendation
signup.biyapay.com,(not set),China,mobile,Android Webview,Android,5544,3039,1536,81.33,8514.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
signup.biyapay.com,/download,China,mobile,Chrome,Android,2763,2246,2633,263.9,8475.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
signup.biyapay.com,(not set),China,mobile,Chrome,Android,2152,1425,479,164.48,3249.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
invest.biyapay.com,/en/404,Singapore,desktop,Chrome,Windows,1447,1443,2,0.36,2874.0,F_broken_route_or_invalid_entry,404 page ranking in Direct top entries,"Audit broken links, redirects, and app/webview routing"
signup.biyapay.com,/download,Indonesia,mobile,Chrome,Android,1439,1086,1407,210.1,4101.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
signup.biyapay.com,(not set),China,mobile,Safari (in-app),iOS,1431,1171,184,29.99,2588.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
signup.biyapay.com,(not set),Indonesia,mobile,Chrome,Android,1250,950,239,57.05,1985.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
signup.biyapay.com,/download,China,mobile,Safari,iOS,1187,861,1128,268.79,3278.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
signup.biyapay.com,/download,Bangladesh,mobile,Chrome,Android,976,737,954,166.3,2710.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
signup.biyapay.com,(not set),Indonesia,mobile,Android Webview,Android,971,642,210,53.6,1627.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
signup.biyapay.com,(not set),China,mobile,Safari,iOS,949,708,182,52.02,1526.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
www.biyapay.com,/en,China,desktop,Chrome,Windows,947,783,359,167.15,1676.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
active.biyagl.com,/zh?id=7&height=44&language=zh-cn,China,mobile,Safari (in-app),iOS,860,530,279,222.74,1345.0,F_non_core_or_suspicious_host,Non-core hostname appearing in Direct,Review host ownership and exclude from clean acquisition reporting until explained
active.biyagl.com,/zh?id=6&height=44&language=zh-cn,China,mobile,Safari (in-app),iOS,742,533,258,280.23,1235.0,F_non_core_or_suspicious_host,Non-core hostname appearing in Direct,Review host ownership and exclude from clean acquisition reporting until explained
signup.biyapay.com,(not set),Bangladesh,mobile,Chrome,Android,718,562,141,43.11,1175.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
active.biyagl.com,/zh?id=6,China,mobile,Android Webview,Android,607,493,471,440.63,1011.0,F_non_core_or_suspicious_host,Non-core hostname appearing in Direct,Review host ownership and exclude from clean acquisition reporting until explained
www.biyapay.com,/en,United States,desktop,Chrome,Windows,594,543,245,170.99,1113.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
www.biyapay.com,/en,Singapore,desktop,Chrome,Windows,586,572,66,63.66,1130.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
www.biyapay.com,/en,China,mobile,Chrome,Android,564,527,451,261.62,1130.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
www.biyapay.com,/en/login,Indonesia,mobile,Chrome,Android,555,502,472,226.25,1044.0,D_login_or_signup_return_flow,Auth page treated as Direct landing,Separate lifecycle traffic from acquisition and inspect cross-domain/session continuity
signup.biyapay.com,/download,India,mobile,Chrome,Android,488,363,467,145.12,1396.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
signup.biyapay.com,(not set),Bangladesh,mobile,Android Webview,Android,422,279,112,66.37,701.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
www.biyapay.com,/en,China,mobile,Safari,iOS,406,368,170,110.65,789.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
signup.biyapay.com,(not set),India,mobile,Chrome,Android,339,239,49,31.89,534.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
signup.biyapay.com,(not set),Hong Kong,mobile,Android Webview,Android,337,193,100,69.91,505.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
www.biyapay.com,/en/download,China,mobile,Chrome,Android,331,257,128,97.68,551.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
signup.biyapay.com,/download,Nigeria,mobile,Chrome,Android,329,253,311,242.85,905.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
www.biyapays.com,/,Singapore,desktop,Chrome,Windows,324,324,0,0.14,648.0,F_non_core_or_suspicious_host,Non-core hostname appearing in Direct,Review host ownership and exclude from clean acquisition reporting until explained
active.biyagl.com,/en?id=14,Indonesia,mobile,Android Webview,Android,315,261,230,113.49,533.0,F_non_core_or_suspicious_host,Non-core hostname appearing in Direct,Review host ownership and exclude from clean acquisition reporting until explained
signup.biyapay.com,(not set),China,desktop,Chrome,Windows,302,269,77,85.09,547.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
signup.biyapay.com,(not set),Hong Kong,mobile,Safari (in-app),iOS,289,230,47,26.9,512.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
signup.biyapay.com,/download,China,mobile,Android Webview,Android,275,207,263,225.09,786.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
www.biyapay.com,/en,United States,desktop,Chrome,Macintosh,270,259,65,131.17,521.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
www.biyapay.com,/en/login,China,desktop,Chrome,Windows,268,239,198,707.32,498.0,D_login_or_signup_return_flow,Auth page treated as Direct landing,Separate lifecycle traffic from acquisition and inspect cross-domain/session continuity
signup.biyapay.com,(not set),Japan,mobile,Safari (in-app),iOS,256,207,37,34.35,450.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
signup.biyapay.com,(not set),Japan,mobile,Android Webview,Android,250,144,77,66.59,379.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
www.biyapay.com,/en/login,China,mobile,Chrome,Android,249,237,200,249.95,491.0,D_login_or_signup_return_flow,Auth page treated as Direct landing,Separate lifecycle traffic from acquisition and inspect cross-domain/session continuity
active.biyagl.com,/zh?id=15,Hong Kong,desktop,Chrome,Windows,239,111,166,172.48,350.0,F_non_core_or_suspicious_host,Non-core hostname appearing in Direct,Review host ownership and exclude from clean acquisition reporting until explained
www.biyapay.com,/en/login,Bangladesh,mobile,Chrome,Android,221,207,164,232.86,426.0,D_login_or_signup_return_flow,Auth page treated as Direct landing,Separate lifecycle traffic from acquisition and inspect cross-domain/session continuity
invest.biyapay.com,/en/404,China,desktop,Chrome,Windows,220,220,3,1.25,432.0,F_broken_route_or_invalid_entry,404 page ranking in Direct top entries,"Audit broken links, redirects, and app/webview routing"
